y__abs_energy,y__quantile__q_0.9,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__sum_values,y__minimum,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__median,y__range_count__max_1__min_-1,y
79.5664,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,3.4598857044857882,1.7299428522428941,5.470559635015673,2.446508643772296,8.92,0.0,8.2
67.24,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,3.1806124189219123,1.590306209460956,5.028989799005439,2.249032609745832,8.2,0.0,8.28
68.55839999999999,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,3.211642783984565,1.6058213919922826,5.078053114117687,2.2709743913043283,8.28,0.0,8.38
70.22440000000002,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,3.2504307403128823,1.6252153701564411,5.1393822580079975,2.2984016182524485,8.38,0.0,9.65
93.1225,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,3.7430377856824952,1.8715188928412476,5.918262385414938,2.6467274004935715,9.65,0.0,8.88
78.85440000000001,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,3.444370521954462,1.722185260977231,5.446027977459548,2.4355377529930484,8.88,0.0,8.51
72.42009999999998,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,3.3008550835396924,1.6504275417698462,5.2191101450653985,2.3340570132850043,8.51,0.0,8.48
71.91040000000002,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,3.2892186966411976,1.6446093483205988,5.200711401898307,2.3258288452005687,8.48,0.0,8.36
69.88959999999999,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,3.242673149047218,1.621336574523609,5.127116429229933,2.2929161728628245,8.36,0.0,10.83
117.2889,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,4.2007356703566225,2.100367835178312,6.641946283320597,2.9703686784813863,10.83,0.0,11.02
121.4404,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,11.02,4.274432787380424,2.137216393690212,6.758471656712186,3.0224804096828137,11.02,0.0,11.85
140.4225,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,4.596372824905448,2.298186412452724,7.267503551001762,3.2501263933522093,11.85,0.0,11.35
