y__abs_energy,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__minimum,y__median,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__quantile__q_0.9,y__sum_values,y
10592.5264,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.92,39.92056465310284,19.960282326551415,63.119954891907284,28.22810197500501,102.92,102.92,109.2524
11936.08690576,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,109.2524,42.376773199637114,21.188386599818557,67.00356159961729,29.964903694267754,109.2524,109.2524,105.221
11071.458841,105.221,105.221,105.221,105.221,105.221,105.221,105.221,105.221,105.221,105.221,105.221,105.221,105.221,40.81307552821739,20.40653776410869,64.53113849282333,28.85920246708125,105.221,105.221,88.6985
7867.42390225,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,88.6985,34.40433544387137,17.202167721935687,54.39803069354681,24.327538894578137,88.6985,88.6985,83.6098
6990.598656040002,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,83.6098,32.43053271019236,16.21526635509618,51.2771745484006,22.931849596869164,83.6098,83.6098,77.23
5964.472900000002,77.23,77.23,77.23,77.23,77.23,77.23,77.23,77.23,77.23,77.23,77.23,77.23,77.23,29.95593867235845,14.977969336179225,47.36449782648658,21.182047372033008,77.23,77.23,67.3209
4532.103576809999,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,67.3209,26.11240129182929,13.056200645914645,41.28733162925185,18.464256026516853,67.3209,67.3209,74.6196
5568.084704160001,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,74.6196,28.94341786036409,14.471708930182047,45.76356185437393,20.46608703977929,74.6196,74.6196,79.5858
6333.899561640002,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,79.5858,30.869705347540933,15.434852673770466,48.809289798254525,21.828177984476813,79.5858,79.5858,66.0568
4363.50082624,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,66.0568,25.62208273588305,12.811041367941526,40.51206992133445,18.117548450665673,66.0568,66.0568,71.1864
